TimeStamp,h_d,theta_d,v_d,psi_dot_d,theta_hat,theta_dot_hat,v_hat,psi_dot_hat,tau_RW,tau_LW
1774,0.135238,0.0118929,-0.00976801,0.0115018,0.0556568,-0.0435227,-0.00315539,-1e-08,-0.0555865,0.0533916
1782,0.135238,0.0118929,-0.00976801,0.0115018,0.055096,-0.0235379,0.0116431,0.0180031,-0.0584144,0.0605234
1789,0.135238,0.0118929,-0.00976801,0.0115018,0.054436,-0.100279,0.0172146,0.0272619,-0.0444835,0.0485334
1798,0.135238,0.0118929,-0.00976801,0.0115018,0.0534975,-0.137584,0.0311496,0.0380638,-0.0379242,0.0443968
1806,0.135238,0.0118929,-0.00976801,0.0115018,0.0524946,-0.186079,0.03434,0.0514375,-0.0273723,0.0368382
1814,0.135238,0.0118929,-0.00976801,0.0115018,0.0509868,-0.200735,0.0359348,0.0884725,-0.018734,0.0368741
1822,0.135238,0.0118929,-0.00976801,0.0115018,0.0492037,-0.205264,0.0345308,0.040636,-0.0209245,0.027733
1830,0.135238,0.0118929,-0.00976801,0.0115018,0.04753,-0.183282,0.0328978,-0.0421788,-0.0317812,0.019085
1838,0.135238,0.0118929,-0.00976801,0.0115018,0.045979,-0.173156,0.0302155,0.0226326,-0.0232633,0.0258723
1846,0.135238,0.0118929,-0.00732601,0.0172528,0.0444865,-0.138651,0.0296802,0.045265,-0.0245005,0.0311773
1854,0.135238,0.0118929,-0.00732601,0.0172528,0.0432972,-0.10854,0.0314204,0.0457798,-0.0281101,0.0349832
1861,0.135238,0.0118929,-0.00732601,0.0172528,0.0423675,-0.0932176,0.0308863,0.0180031,-0.0325736,0.0329235
1870,0.135238,0.0118929,-0.00976801,0.0115018,0.0412987,-0.104808,0.0290969,0.0267474,-0.0275576,0.0312775
1878,0.135238,0.0118929,-0.00976801,0.0115018,0.0404422,-0.107206,0.030062,0.0154313,-0.0274628,0.0284916
1886,0.135238,0.0118929,-0.00976801,0.0115018,0.0394343,-0.105209,0.0267903,0.0154315,-0.0258776,0.0268973
1894,0.135238,0.0118929,-0.00976801,0.0115018,0.0385328,-0.07723,0.0266043,0.0673831,-0.0231577,0.036512
1902,0.135238,0.0118929,-0.00732601,0.0115018,0.0378243,-0.0356619,0.0232279,0.125507,-0.0213411,0.0485308
1910,0.135238,0.0118929,-0.00732601,0.0115018,0.0375532,0.0186967,0.0239422,0.0663543,-0.0371364,0.0505267
1918,0.135238,0.0118929,-0.00976801,0.0115018,0.0375079,0.0397475,0.026544,0.03292,-0.0453436,0.0509068
1926,0.135238,0.0118929,-0.00976801,0.0115018,0.0377569,0.0222937,0.0277461,0.0200607,-0.0444792,0.0469575
1933,0.135238,0.0118929,-0.00976801,0.0115018,0.0374973,-0.00195441,0.0274432,0.0401213,-0.0376557,0.0447907
1942,0.135238,0.0118929,-0.00976801,0.0115018,0.0373935,-0.0276676,0.0331079,0.0529807,-0.0326121,0.0427025
1950,0.135238,0.0118929,-0.00976801,0.0115018,0.0369533,-0.0677699,0.0370968,0.0390925,-0.0275807,0.034264
1958,0.135238,0.0118929,-0.00976801,0.0115018,0.0361862,-0.0884221,0.0455326,0.0118306,-0.0276404,0.0278152
1966,0.135238,0.0118929,-0.00976801,0.0115018,0.0354716,-0.102943,0.0514393,0.0262332,-0.0234809,0.0270007
1974,0.135238,0.0118929,-0.00976801,0.0115018,0.0344339,-0.107473,0.0495924,0.0200607,-0.0217205,0.0237537
1982,0.135238,0.0118929,-0.00976801,0.0115018,0.0333268,-0.083225,0.0412907,-0.00720091,-0.0261191,0.0217747
1990,0.135238,0.0118929,-0.00976801,0.0115018,0.0325587,-0.0172763,0.0373411,0.00822995,-0.0336261,0.0331142
1998,0.135238,0.0118929,-0.00976801,0.0115018,0.0324405,0.0200285,0.0375149,0.0298337,-0.0371803,0.0418801
2005,0.135238,0.0118929,-0.00976801,0.0115018,0.032505,0.0493399,0.0436259,0.0293197,-0.043213,0.0478831
2014,0.135238,0.0118929,-0.00976801,0.0115018,0.0328239,0.0310867,0.0509703,-0.0442372,-0.0504522,0.0377101
2022,0.135238,0.0118929,-0.00976801,0.0115018,0.0330418,-0.0286006,0.0550576,0.0241756,-0.0333754,0.0366016
2030,0.135238,0.0118929,-0.00732601,0.0115018,0.032736,-0.0876211,0.0627363,0.0514374,-0.0207203,0.0301962
2038,0.135238,0.0118929,-0.00732601,0.0115018,0.0318261,-0.155303,0.0601071,0.013374,-0.0122133,0.0124836
2046,0.135238,0.0118929,-0.00976801,0.0115018,0.030625,-0.146242,0.0527289,-0.0221177,-0.0154553,0.00735783
2054,0.135238,0.0118929,-0.00976801,0.0115018,0.0294347,-0.0491197,0.0445226,0.0113162,-0.0247828,0.0248559
2062,0.135238,0.0118929,-0.00976801,0.0115018,0.02914,0.0775831,0.0506085,0.0375493,-0.043441,0.0500907
2070,0.135238,0.0118929,-0.00976801,0.0115018,0.029661,0.115158,0.0644045,-0.0267478,-0.0602381,0.0518361
2077,0.135238,0.0118929,-0.00976801,0.0115018,0.0302549,0.0521375,0.0707177,0.00205746,-0.0481486,0.0463618
2086,0.135238,0.0118929,-0.00976801,0.0115018,0.0305526,-0.0832258,0.0754555,0.0648113,-0.0193057,0.0319208
2094,0.135238,0.0118929,-0.00976801,0.0115018,0.0294396,-0.183014,0.071321,0.00051431,-0.00800059,0.00511655
2102,0.135317,0.0118615,-0.00976801,0.0115018,0.0278686,-0.198203,0.0630072,-0.0426928,-0.00708337,-0.00606951
2110,0.135317,0.0118515,-0.00976801,0.0115018,0.0262228,-0.112005,0.0605256,0.00771558,-0.0128949,0.0118797
2118,0.135238,0.0118786,-0.00976801,0.0115018,0.0254176,0.0282857,0.0687354,0.0432075,-0.0323338,0.0401145
2126,0.135238,0.0118868,-0.00976801,0.0115018,0.0256332,0.093839,0.0834211,0.0231469,-0.0483051,0.0515565
2134,0.135317,0.0118588,-0.00976801,0.0115018,0.0259774,0.0625291,0.0869085,-0.00925863,-0.0479731,0.0434858
2142,0.135317,0.0118504,-0.00976801,0.0115018,0.026324,-0.0234057,0.0844111,0.0169744,-0.0306042,0.0320503
2149,0.135317,0.0118467,-0.00976801,0.0115018,0.0262774,-0.115467,0.0790021,0.0509229,-0.0102835,0.0194589
2158,0.135238,0.0118766,-0.00976801,0.0115018,0.0252386,-0.165294,0.0738711,0.00565762,-0.00498761,0.00330975
2166,0.135238,0.0118859,-0.00976801,0.0115018,0.0239448,-0.121598,0.0764696,-0.0102877,-0.0127881,0.00746146
2174,0.135317,0.0118584,-0.00976801,0.0115018,0.022934,-0.01488,0.077437,-0.0200609,-0.0305759,0.0232551
2182,0.135317,0.0118502,-0.00976801,0.0115018,0.0228846,0.127013,0.0815872,0.0483515,-0.0468481,0.0561098
2190,0.135317,0.0118466,-0.00976801,0.0115018,0.0237767,0.165785,0.0918638,0.0565817,-0.0552525,0.0665902
2198,0.135317,0.0118451,-0.00976801,0.0115018,0.024626,0.0862441,0.0965364,-0.00565825,-0.0512164,0.0476328
2206,0.135317,0.0118444,-0.00976801,0.0115018,0.0248388,-0.0922869,0.0956772,-2e-08,-0.0208601,0.0180675
2214,0.135317,0.0118442,-0.00976801,0.0115018,0.0239081,-0.195004,0.0874076,-0.0468086,-0.00658618,-0.00758452
2221,0.135317,0.011844,-0.00976801,0.0115018,0.0224261,-0.183548,0.074762,0.004115,0.00158223,-0.00372169
2230,0.135238,0.0118754,-0.00976801,0.0115018,0.0211898,-0.0258074,0.0840472,0.0133738,-0.02344,0.0239518
2238,0.135238,0.0118854,-0.00976801,0.0115018,0.0212202,0.110758,0.0939481,-0.0164599,-0.0514021,0.0452923
2246,0.135238,0.0118897,-0.00976801,0.0115018,0.0220403,0.183637,0.10771,0.054524,-0.0585623,0.069444
2254,0.135238,0.0118915,-0.00976801,0.0115018,0.022548,0.0721196,0.103547,0.0216038,-0.0438311,0.0466078
2262,0.135238,0.0118923,-0.00976801,0.0115018,0.022447,-0.0336641,0.104672,0.0324057,-0.0249194,0.02992
2270,0.135238,0.0118927,-0.00976801,0.0115018,0.0216561,-0.155036,0.100492,0.0226325,-0.00401985,0.00632927
2278,0.135238,0.0118928,-0.00976801,0.0115018,0.0203844,-0.198604,0.0917653,-0.0473217,-0.00181835,-0.0125371
2286,0.135238,0.0118929,-0.00976801,0.0115018,0.0189337,-0.103478,0.0868307,0.0786992,-7.058e-05,0.0157295
2293,0.135238,0.0118929,-0.00976801,0.0115018,0.0182221,0.0450725,0.0919065,0.0673833,-0.0260658,0.0394992
2302,0.135317,0.0118615,-0.00976801,0.0115018,0.0186774,0.202156,0.111646,0.0200608,-0.0617579,0.0645129
2310,0.135317,0.0118515,-0.00976801,0.0115018,0.0201242,0.173778,0.119965,-0.0478369,-0.0683656,0.0550303
2318,0.135317,0.0118472,-0.00976801,0.0115018,0.0213065,0.00230567,0.111393,-0.0483515,-0.0400186,0.0260526
2326,0.135317,0.0118453,-0.00976801,0.0115018,0.0212167,-0.102677,0.111057,0.107504,-0.00392952,0.026427
2334,0.135238,0.011876,-0.00976801,0.0115018,0.020319,-0.210328,0.101291,-0.0421782,-0.00072006,-0.012457
2342,0.135238,0.0118856,-0.00976801,0.0115018,0.0187845,-0.150644,0.0987221,-0.0961875,-0.0145123,-0.011253
