TimeStamp,h_d,theta_d,v_d,psi_dot_d,theta_hat,theta_dot_hat,v_hat,psi_dot_hat,tau_RW,tau_LW
758,0.135079,0.0119906,-0.00549451,0.0230037,-0.0381267,-0.183282,-0.0136676,0.00308637,0.114637,-0.12082
774,0.135079,0.0119906,-0.00549451,0.0230037,-0.0408033,0.0842504,-0.0661441,-0.076128,0.0727768,-0.0974194
790,0.135079,0.0119906,-0.00549451,0.0230037,-0.0377757,0.421189,-0.102517,0.043722,0.0293369,-0.0236918
806,0.135079,0.0119906,-0.00549451,0.0230037,-0.0305138,0.466356,-0.0809578,-0.0689273,-0.00948934,-0.0120172
821,0.135079,0.0119906,-0.00549451,0.0230037,-0.0243723,0.192562,-0.0570263,0.0781853,0.0428162,-0.0293167
838,0.135079,0.0119906,-0.00549451,0.0230037,-0.0208646,0.0739863,-0.0610676,-0.0781861,0.0407363,-0.065616
854,0.135079,0.0119906,-0.00549451,0.0230037,-0.0198858,0.109294,-0.0732494,0.0118307,0.0464787,-0.0493297
870,0.135079,0.0119906,-0.00549451,0.0230037,-0.0172954,0.229071,-0.0638694,0.0195462,0.0190979,-0.0196446
886,0.135079,0.0119906,-0.00549451,0.0230037,-0.0139297,0.164318,-0.0542654,-0.0884726,0.0100808,-0.0370675
902,0.135079,0.0119906,-0.00549451,0.0230037,-0.011863,0.0653275,-0.0411965,0.00720101,0.0333664,-0.0373609
918,0.135079,0.0119906,-0.00549451,0.0230037,-0.0116276,0.0861112,-0.0501922,-0.00823008,0.0294196,-0.0370998
934,0.135079,0.0119906,-0.00549451,0.0230037,-0.00934765,0.226539,-0.0469706,-0.0318913,-0.00359684,-0.00935249
950,0.135079,0.0119906,-0.00549451,0.0230037,-0.00599149,0.247055,-0.030805,-0.0298338,-0.016357,0.00402734
965,0.135079,0.0119906,-0.00549451,0.0230037,-0.00349828,0.0586649,-0.0163089,0.00565813,0.0149335,-0.0191962
982,0.135079,0.0119906,-0.00549451,0.0230037,-0.0033587,-0.00901551,-0.0187483,-0.0133737,0.0253402,-0.0344507
998,0.135079,0.0119906,-0.00549451,0.0230037,-0.00311359,0.072389,-0.0190468,-0.0133736,0.0101286,-0.0189725
1014,0.135079,0.0119906,-0.00549451,0.0230037,-0.00129096,0.212281,-0.00612077,0.061725,-0.0123265,0.0222365
1030,0.135079,0.0119906,-0.00549451,0.0230037,0.00097987,0.0889083,-0.00196877,-0.0138877,-0.00362823,-0.00522355
1046,0.135079,0.0119906,-0.00549451,0.0230037,0.00206304,0.0326852,-0.00079374,0.0257188,0.00942123,-0.00880145
1062,0.135079,0.0119906,-0.00549451,0.0230037,0.00271343,0.032819,-0.00230245,-0.0329194,0.00156915,-0.0152071
1078,0.135079,0.0119906,-0.00549451,0.0230037,0.00357286,0.102233,0.00804456,0.00514373,-0.0103254,0.00618764
1094,0.135079,0.0119906,-0.00549451,0.0230037,0.0049696,0.0585324,0.00424359,-1e-08,-0.00434406,-0.00116639
1109,0.135079,0.0119906,-0.00549451,0.0230037,0.005896,0.0572007,0.00446339,0.00257188,-0.00534871,0.00047352
1126,0.135079,0.0119906,-0.00549451,0.0230037,0.00692332,0.102499,0.00806388,0.00514366,-0.0158359,0.0117487
1142,0.135079,0.0119906,-0.00549451,0.0230037,0.00862262,0.111159,0.00957745,0.0020575,-0.0209168,0.0161321
1158,0.135079,0.0119906,-0.00549451,0.0230037,0.0103676,0.10916,0.00823044,-0.0025719,-0.0236398,0.0177479
1174,0.135079,0.0119906,-0.00549451,0.0230037,0.0120468,0.115423,0.00988657,-0.00411492,-0.0280959,0.021874
1190,0.135079,0.0119906,-0.00549451,0.0230037,0.0141032,0.159922,0.0140618,0.0108019,-0.0387484,0.036331
1206,0.135079,0.0119906,-0.00549451,0.0230037,0.0165315,0.144067,0.0156961,0.0262332,-0.0383142,0.0396366
1222,0.135079,0.0119906,-0.00549451,0.0230037,0.0186923,0.127413,0.0187909,0.0437219,-0.0373909,0.0429474
1238,0.135079,0.0119906,-0.00549451,0.0230037,0.0206501,0.120618,0.0266498,0.0622395,-0.0389324,0.0490031
1253,0.135079,0.0119906,-0.00549451,0.0230037,0.0225768,0.0895759,0.0382549,0.0997888,-0.0345574,0.0536949
1270,0.135079,0.0119906,-0.00549451,0.0230037,0.0235682,0.0305539,0.0382147,0.120878,-0.0228107,0.0469036
1286,0.135079,0.0119906,-0.00549451,0.0230037,0.0243389,0.0725218,0.0365123,0.043208,-0.0407731,0.0461144
1302,0.135079,0.0119906,-0.00549451,0.0230037,0.0257433,0.0869124,0.0608383,0.0606964,-0.0492747,0.058943
1318,0.135079,0.0119906,-0.00549451,0.0230037,0.0259783,-0.0537809,0.0743004,0.05761,-0.0274693,0.0359381
1334,0.135079,0.0119906,-0.00549451,0.0230037,0.0245938,-0.119596,0.0622528,-0.0159451,-0.0192893,0.00962569
1350,0.135079,0.0119906,-0.00549451,0.0230037,0.0236522,0.0670586,0.0655359,0.0375494,-0.0461527,0.0500946
1366,0.135079,0.0119906,-0.00549451,0.0230037,0.0247435,0.0605318,0.0911292,0.0859007,-0.046869,0.0625755
1382,0.135079,0.0119906,-0.00549451,0.0230037,0.0245634,-0.0845567,0.089974,0.0149171,-0.0284012,0.0263647
1397,0.135079,0.0119906,-0.00549451,0.0230037,0.0228205,-0.132388,0.0825204,0.0534949,-0.0103833,0.0175516
1414,0.135079,0.0119906,-0.00549451,0.0230037,0.0218838,0.0556003,0.0829897,0.0185175,-0.0475843,0.0468355
1430,0.135079,0.0119906,-0.00549451,0.0230037,0.0232875,0.134209,0.109188,0.0318915,-0.0687641,0.071549
1446,0.135079,0.0119906,-0.00549451,0.0230037,0.02333,-0.145177,0.105192,-0.0272615,-0.0240032,0.0114927
1462,0.135079,0.0119906,-0.00549451,0.0230037,0.0208711,-0.114935,0.0965658,0.0267479,-0.016943,0.0176334
1478,0.135079,0.0119906,-0.00549451,0.0230037,0.0198909,0.0909072,0.101873,0.00823,-0.056473,0.0533091
1494,0.135079,0.0119906,-0.00549451,0.0230037,0.0218561,0.112224,0.122652,0.0884725,-0.0587,0.0751621
1510,0.135079,0.0119906,-0.00549451,0.0230037,0.021811,-0.18368,0.114485,-0.00205741,-0.0136088,0.00708565
1526,0.135079,0.0119906,-0.00549451,0.0230037,0.0192504,-0.120398,0.106672,0.0401211,-0.0140512,0.0179558
1541,0.135079,0.0119906,-0.00549451,0.0230037,0.0188185,0.0947719,0.115566,0.0411498,-0.054647,0.059492
