TimeStamp,h_d,theta_d,v_d,psi_dot_d,theta_hat,theta_dot_hat,v_hat,psi_dot_hat,tau_RW,tau_LW
110,0.199683,-0.019572,-0.00695971,0.0230037,0.182677,-0.256027,-0.0167272,0.0838432,-0.259536,0.276506
118,0.199683,-0.019572,-0.00695971,0.0230037,0.180257,-0.206066,0.0781909,0.21398,-0.265995,0.3138
126,0.199683,-0.019572,-0.00695971,0.0230037,0.177011,-0.536487,0.223857,0.187747,-0.220063,0.260309
134,0.199683,-0.019572,-0.00695971,0.0230037,0.172675,-0.758189,0.368738,0.0540083,-0.207122,0.214918
142,0.199603,-0.019596,-0.00695971,0.0230037,0.166542,-1.19329,0.455443,-0.0977314,-0.140478,0.110661
150,0.199603,-0.0196017,-0.00695971,0.0230037,0.156508,-1.55788,0.490695,-0.121908,-0.0586845,0.0215013
158,0.199603,-0.0196042,-0.00927961,0.0153358,0.141364,-2.00038,0.427296,-0.00102681,0.0806992,-0.0897182
166,0.199603,-0.0196053,-0.00927961,0.0153358,0.124739,-2.2611,0.345759,0.432076,0.224438,-0.132853
173,0.199603,-0.0196057,-0.00927961,0.0153358,0.105582,-2.12951,0.264826,0.541122,0.253869,-0.136433
182,0.199683,-0.0195819,-0.00927961,0.0230037,0.0882133,-1.50774,0.164577,0.239185,0.134351,-0.0876203
190,0.199683,-0.0195763,-0.00927961,0.0230037,0.0761032,-1.06725,0.0771239,-0.144027,0.0327001,-0.0746525
198,0.199603,-0.0195978,-0.00695971,0.0230037,0.0671378,-0.771774,0.0386953,-0.164598,-0.00930818,-0.0364479
206,0.199603,-0.0196025,-0.00695971,0.0230037,0.0603846,-0.463708,0.0577404,-0.0699556,-0.0534872,0.0311676
214,0.199683,-0.0195806,-0.00927961,0.0153358,0.056278,-0.367801,0.0638712,0.194949,-0.035851,0.0780452
222,0.199683,-0.0195757,-0.00927961,0.0153358,0.0530284,-0.207543,0.105353,0.388353,-0.047414,0.135766
230,0.199683,-0.0195736,-0.00695971,0.0230037,0.0515529,-0.355952,0.106297,0.368293,-0.0177939,0.0989787
238,0.199683,-0.0195727,-0.00695971,0.0230037,0.0477272,-0.385388,0.128269,0.347204,-0.0117584,0.0877912
245,0.199683,-0.0195723,-0.00695971,0.0230037,0.0438448,-0.456658,0.137843,0.256159,-0.00330361,0.0575332
254,0.199683,-0.0195721,-0.00695971,0.0230037,0.0391397,-0.52541,0.129442,0.200606,0.0130284,0.0277473
262,0.199683,-0.0195721,-0.00695971,0.0230037,0.0345897,-0.444021,0.130914,0.215009,0.00506994,0.0393494
