TimeStamp,h_d,v_d,psi_dot_d,theta_hat,theta_dot_hat,v_hat,psi_dot_hat,tau_RW,tau_LW
477,0.145794,0.00122106,0.003663,-0.0374033,-0.0310126,-0.00236436,0.00128566,0.0114672,-0.0122907
489,0.145794,0.00122106,0.003663,-0.0370931,-0.0219019,-0.00167105,-0.00030956,0.0181341,-0.0190554
501,0.145794,0.00122106,0.003663,-0.0323873,-0.0142257,-0.00307955,-0.00589101,0.0169177,-0.0181134
513,0.145794,0.00122106,0.003663,-0.0316665,-0.0100818,-0.00342914,-0.0227816,0.0125347,-0.0147109
525,0.145794,0.00122106,0.003663,-0.0349312,-0.0222051,-0.00368775,-0.021249,0.0100653,-0.0154821
537,0.145794,0.00122106,0.003663,-0.0332766,-0.0253902,-0.00193725,-0.0032322,0.0135768,-0.0187885
549,0.145794,0.00122106,0.003663,-0.0285636,-0.0243541,-0.00185702,0.00601094,0.0142599,-0.015968
561,0.145794,0.00122106,0.003663,-0.0248196,-0.0258421,-0.00197008,0.00854301,0.0117329,-0.0115733
573,0.145794,0.00122106,0.003663,-0.0295285,-0.024872,-0.00189603,0.00381087,0.00947153,-0.00876513
585,0.145794,0.00122106,0.003663,-0.0404427,-0.0195914,-0.00149417,-0.00393118,0.0122485,-0.0125317
597,0.145794,0.00122106,0.003663,-0.0440121,-0.0190062,-0.00144981,-0.0046668,0.0187183,-0.0206622
609,0.145794,0.00122106,0.003663,-0.0426595,-0.0123363,-0.00094225,0.00199166,0.0211144,-0.0232578
621,0.145794,0.00122106,0.003663,-0.041878,-0.00490259,-0.00104005,0.00372064,0.0201894,-0.0210026
633,0.145794,0.00122106,0.003663,-0.0431645,-0.00102613,-0.00074492,0.002749,0.0191827,-0.0196267
645,0.145794,0.00122106,0.003663,-0.0445946,0.00717747,0.00054421,0.00384696,0.0196387,-0.0202796
657,0.145794,0.00122106,0.003663,-0.0457863,0.00981277,0.00074582,0.00118032,0.0199328,-0.0203579
669,0.145794,0.00122106,0.003663,-0.0488343,0.0143911,0.00109449,0.00312564,0.0202718,-0.0212237
681,0.145794,0.00122106,0.003663,-0.0489436,0.0216062,0.00164402,0.00508463,0.0221909,-0.022803
693,0.145794,0.00122106,0.003663,-0.0544905,0.0299487,0.00227977,0.00758974,0.0217915,-0.0220041
705,0.145794,0.00122106,0.00549451,-0.0558708,0.0301537,0.00229554,0.00361326,0.0250044,-0.0251525
717,0.145794,0.00122106,0.00549451,-0.0513621,0.0322045,0.00245147,-0.00010049,0.025574,-0.0265129
729,0.145794,0.00122106,0.003663,-0.0520924,0.0423993,0.00256373,-0.00493916,0.0220163,-0.0232376
741,0.145794,0.00122106,0.003663,-0.0500789,0.0509932,0.00321815,-0.0044784,0.0211839,-0.0233217
753,0.145794,0.00122106,0.003663,-0.0452979,0.0540185,0.00411369,0.0015988,0.0190118,-0.021
765,0.145794,0.00122106,0.003663,-0.0385659,0.0524819,0.00399775,0.00285006,0.0158806,-0.016604
777,0.145794,0.00122106,0.003663,-0.0328301,0.0506409,0.00385784,0.00224081,0.0113883,-0.011763
789,0.145794,0.00122106,0.003663,-0.0288867,0.05403,0.00411609,-0.00016371,0.00744708,-0.00785012
801,0.145794,0.00122106,0.003663,-0.02408,0.0577483,0.00439986,-0.00127695,0.00411419,-0.00490576
813,0.145794,0.00122106,0.003663,-0.0183006,0.0552143,0.00420734,-0.00065968,0.00026647,-0.00118166
825,0.145794,0.00122106,0.003663,-0.00974714,0.0519171,0.0039565,0.00267072,-0.00352228,0.00281432
837,0.145794,0.00122106,0.003663,-0.0127382,0.0447642,0.00341207,0.00511982,-0.00893645,0.00900367
849,0.145794,0.00122106,0.003663,-0.00694842,0.047913,0.00498013,0.0153862,-0.00592405,0.00639234
861,0.145794,0.00122106,0.003663,0.00069102,0.0568805,0.00499983,0.0107482,-0.00943661,0.0119978
873,0.145794,0.00122106,0.003663,0.00258797,0.0580153,0.00442235,0.00295894,-0.016049,0.0178675
885,0.145794,0.00122106,0.003663,0.00446121,0.0512728,0.00457302,-0.00330699,-0.0181866,0.0185335
897,0.145794,0.00122106,0.003663,0.00235376,0.0533002,0.00539217,0.00288953,-0.0195603,0.0187075
909,0.145794,0.00122106,0.003663,0.00722951,0.0549158,0.00551564,0.00375749,-0.0177211,0.0180387
921,0.145794,0.00122106,0.003663,0.00834359,0.0634236,0.00616371,0.00435399,-0.0212307,0.0218021
933,0.145794,0.00122106,0.003663,0.00833813,0.0665965,0.00507683,0.00294834,-0.0227463,0.0234783
945,0.145794,0.00122106,0.003663,0.00577519,0.075022,0.00571767,0.00181979,-0.0230433,0.0235107
957,0.145794,0.00122106,0.003663,0.00960563,0.079959,0.00609395,0.00231726,-0.0221212,0.0223546
969,0.145794,0.00122106,0.003663,0.00938704,0.0827208,0.00630495,0.00232984,-0.0252354,0.025644
981,0.145794,0.00122106,0.003663,0.00515855,0.0869288,0.00662555,0.00133733,-0.0253351,0.0257513
993,0.145794,0.00122106,0.003663,0.00813533,0.0908043,0.0069206,0.00157724,-0.0228333,0.0230008
1005,0.145794,0.00122106,0.003663,0.00627745,0.103878,0.00791648,0.00057806,-0.0252713,0.0255468
1017,0.145794,0.00122106,0.003663,0.00618677,0.11093,0.0084544,0.00055084,-0.0252645,0.0253574
1029,0.145794,0.00122106,0.003663,0.00978101,0.115554,0.00880694,0.000963,-0.0258552,0.0259635
1041,0.145794,0.00122106,0.003663,0.0114468,0.120733,0.00920162,0.0015292,-0.0287818,0.029044
1053,0.145794,0.00122106,0.003663,0.0181695,0.128489,0.00979265,0.00136486,-0.0303824,0.030798
1065,0.145794,0.00122106,0.003663,0.023018,0.133919,0.0108715,0.00511984,-0.0358648,0.0363847
1077,0.145794,0.00122106,0.003663,0.0304995,0.135423,0.0109872,-0.00230224,-0.0394916,0.0408363
1089,0.145794,0.00122106,0.003663,0.0351922,0.12869,0.0124684,0.00174938,-0.0456376,0.0456769
1101,0.145794,0.00122106,0.003663,0.0342947,0.113198,0.0146124,-0.00128951,-0.0481303,0.0490135
1113,0.145794,0.00122106,0.003663,0.0446793,0.0909462,0.0175709,0.0023769,-0.0466825,0.0469217
1125,0.145794,0.00122106,0.003663,0.0414793,0.0248026,0.023169,-0.0150399,-0.0520574,0.0531173
1137,0.145794,0.00122106,0.003663,0.0247981,-0.0455367,0.0324352,-0.00832691,-0.0464083,0.0438633
1149,0.145794,0.00122106,0.003663,0.0376834,-0.110308,0.0467786,0.0343685,-0.0288894,0.0271743
1161,0.145794,0.00122106,0.003663,0.0486217,-0.14869,0.0591496,0.110229,-0.0297274,0.0363142
1173,0.145794,0.00122106,0.003663,0.0921731,-0.176007,0.062395,0.0976094,-0.0280191,0.0493593
1185,0.145794,0.00122106,0.003663,0.0525132,-0.191641,0.066526,0.0487108,-0.0580052,0.0775549
1197,0.145794,0.00122106,0.003663,-0.0315486,-0.280121,0.0717495,0.0982693,-0.0338118,0.0432154
1209,0.145794,0.00122106,0.003663,-0.0104354,-0.350112,0.0929972,0.109515,0.0374091,-0.0200771
1221,0.145794,0.00122106,0.003663,0.0175231,-0.381299,0.105923,0.0591909,0.0274745,-0.00778258
1233,0.145794,0.00122106,0.003663,0.0199747,-0.183958,0.0877359,0.0181426,0.00422775,0.00613743
1245,0.145794,0.00122106,0.003663,-0.0113709,0.00083622,0.0579394,-0.0319243,-0.0165102,0.0195349
