TimeStamp,h_d,v_d,psi_dot_d,theta_hat,theta_dot_hat,v_hat,psi_dot_hat,tau_RW,tau_LW
477,0.138175,0.00122106,0.003663,-0.0786666,-0.0164707,-0.00125804,0.00099762,0.0334768,-0.0347871
489,0.138175,0.00122106,0.003663,-0.0896669,0.00436191,0.00032715,0.00117819,0.048806,-0.0504824
501,0.138175,0.00122106,0.003663,-0.083542,0.0256998,-0.00336309,0.00697628,0.0545643,-0.05632
513,0.138175,0.00122106,0.003663,-0.0859232,0.0848936,-0.00816072,-0.0148391,0.0494829,-0.0499647
526,0.138175,0.00122106,0.003663,-0.0730408,0.148098,-0.0212925,-0.00937732,0.0445848,-0.0491628
537,0.138175,0.00122106,0.003663,-0.0356519,0.160911,-0.0282995,-0.0499535,0.0322497,-0.0354088
549,0.138175,0.00122106,0.003663,-0.0245783,0.137627,-0.0314042,-0.0242225,0.00203941,-0.0124183
561,0.138175,0.00122106,0.003663,-0.0317847,0.110407,-0.0401237,-0.0253184,-0.00089943,-0.00439871
573,0.138175,0.00122106,0.003663,-0.0259033,0.0422073,-0.0400079,-0.0356215,0.00707911,-0.0128028
585,0.138175,0.00122106,0.003663,-0.036401,-0.0669586,-0.0243984,-0.0206855,0.00762908,-0.0154466
597,0.138175,0.00122106,0.003663,-0.0436602,-0.138011,-0.0171731,-0.00815907,0.0238539,-0.0292349
609,0.138175,0.00122106,0.003663,-0.0634004,-0.144023,-0.0109823,0.00126101,0.0352672,-0.038533
621,0.138175,0.00122106,0.003663,-0.0846126,-0.106348,-0.0114322,0.0173616,0.0497459,-0.0515134
633,0.138175,0.00122106,0.003663,-0.106916,-0.0460217,-0.0128205,0.0130497,0.0629286,-0.0618179
645,0.138175,0.00122106,0.003663,-0.112723,0.0628844,-0.0224708,0.0280172,0.073101,-0.0730134
657,0.138175,0.00122106,0.003663,-0.104598,0.184556,-0.0371345,0.0303256,0.0705159,-0.0673341
